1;30
2;60
3;100
4;150
5;210
6;280
7;360
8;450
9;550
10;660
11;780
12;910
13;1050
14;1200
15;1360
16;1530
17;1710
18;1900
19;2100
20;2310
21;2530
22;2760
23;3000
24;3250
25;3510
26;3780
27;4060
28;4350
29;4650
30;4960
31;5280
32;5610
33;5950
34;6545
35;7199
36;7919
37;8711
38;9582
39;10540
40;11594
41;12985
42;14932
43;17172
44;19748
45;23105
46;27105
47;31505
48;36005
49;41000
50;47000
51;55000
52;65000
53;80000
54;98000
55;120000
56;150000
57;185000
58;225000
59;275000
60;340000
61;415000
62;500000
63;600000
64;730000
65;900000
66;1115000
67;1380000
68;1700000
69;2080000
70;2525000
71;3000000
72;3550000
73;4100000
74;4700000
75;5405000
76;6080625
77;6840703
78;7695791
79;8657765
80;9739986
81;9939986
82;10139986
83;10339986
84;10539986
85;10739986
86;10939986
87;11139986
88;11339986
89;11539986
90;11739986
91;11939986
92;12139986
93;12339986
94;12539986
95;12739986
96;12939986
97;13139986
98;13339986
99;13539986
100;13739986
101;13939986
102;14139986
103;14339986
104;14539986
105;14739986
106;14939986
107;15139986
108;15339986
109;15539986
110;15739986
111;15939986
112;16139986
113;16339986
114;16539986
115;16739986
116;16939986
117;17139986
118;17339986
119;17539986
120;17739986
121;17939986
122;18139986
123;18339986
124;18539986
125;18739986
126;18939986
127;19139986
128;19339986
129;19539986
130;19739986
131;19939986
132;20139986
133;20339986
134;20539986
135;20739986
136;20939986
137;21139986
138;21339986
139;21539986
140;21739986
141;21939986
142;22139986
143;22339986
144;22539986
145;22739986
146;22939986
147;23139986
148;23339986
149;23539986
150;23739986
151;23939986
152;24139986
153;24339986
154;24539986
155;24739986
156;24939986
157;25139986
158;25339986
159;25539986
160;25739986
161;25939986
162;26139986
163;26339986
164;26539986
165;26739986
166;26939986
167;27139986
168;27339986
169;27539986
170;27739986
171;27939986
172;28139986
173;28339986
174;28539986
175;28739986
176;28939986
177;29139986
178;29339986
179;29539986
180;29739986
181;29939986
182;30139986
183;30339986
184;30539986
185;30739986
186;30939986
187;31139986
188;31339986
189;31539986
190;31739986
191;31939986
192;32139986
193;32339986
194;32539986
195;32739986
196;32939986
197;33139986
198;33339986
199;33539986
